Zipcode,ParkID
04609,0
84532,1
57750,2
79834,3
33033,4
81401,5
84764,6
84535,7
84775,8
88220,9
93001,10
29061,11
97604,12
44141,13
99755,14
92328,15
33041,16
33034,17
99721,18
59936,19
59417,19
99826,20
89311,21
85052,21
86023,22
81146,23
37738,24
83414,25
79847,26
96790,27
96713,27
96718,28
71901,29
49950,30
49931,30
92239,31
92252,31
99613,32
99664,33
99786,34
99653,35
96061,36
96020,36
96063,36
42259,37
81330,38
98304,39
98283,40
98363,41
98331,41
86028,42
95043,43
95519,44
95555,44
80517,45
80510,45
85745,46
85743,46
93271,47
93262,47
22743,48
58645,49
56649,50
57747,51
99566,52
82190,53
95389,54
84737,55
